id,booth,exhibitor,sponsorName,titleCount,titles,score,confidence,ok
"220","3F-U17","チームゲハナシ","グラビティゲームアライズ","3","はしれへべれけEX / みんなで空気読み。ワールド 韓国Ver. / ガルバテイン：冒険者ギルド事務所","0.17","none",""
"221","3F-U18","映画の清掃員","","0","","0.00","none",""
"222","3F-U19","ネコマ製作所","電ファミニコゲーマー","11","UGOMEKU NOTE / Under A Groove / コロコロフレンズ / Re:Connect / クトゥルフ神話カードゲームADV Erase-missing link- / ヴェリタステイルズ：暗黒城の魔女 / 勇者パーティはぜんめつしました。 / Saga &amp; Seeker / 事故物件だよ！うらみちゃん / Pain Pain Go Away! / 多砲塔神教","0.10","none",""
"223","3F-U20","ハードウェアとか研究所","イースニッド","1","アイリス・オデッセイ","0.09","none",""
"224","3F-U21","Interactive Materials Lab","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.35","none",""
"225","3F-U22","Interactive Materials Lab","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.35","none",""
"226","3F-U23","愛知工業大学CGメディア研究室・伊藤勇舞","ラディアスリー","1","Thousands of Heroes","0.16","none",""
"227","3F-U24","シンプルファミリー by Wonderland Kazakiri","CANARY ISLANDS GAMES","9","Archangel: Demon Rush / Arico: Tales From the Abyss / Auditum / Master of Cladia / Microbian / OVER SAND / PlayCan / Project Node / Unicorn Wars","0.21","none",""
"231","3F-U28","Tamakotronica","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.31","none",""
"232","3F-U29","Wataru Nakano × MIYAZAWORKS","CANARY ISLANDS GAMES","9","Archangel: Demon Rush / Arico: Tales From the Abyss / Auditum / Master of Cladia / Microbian / OVER SAND / PlayCan / Project Node / Unicorn Wars","0.30","none",""
"234","3F-U31","愛知工業大学CGメディア研究室","ラディアスリー","1","Thousands of Heroes","0.20","none",""
"235","3F-U32","MIYAZAWORKS","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.27","none",""
"237","3F-C01","Skeleton Crew Studio / モリカトロン","Black Tower Studios","1","Dr. Oops!","0.38","none",""
"238","3F-C02","PYGMY STUDIO","Ukiyo Studios","10","We Took That Trip / CRYMELIGHT / HYPERyuki: Snowboard Syndicate / Kidbash: Super Legend / Mina the Hollower / Shovel Knight: Treasure Trove / Rain98 / Sledding Game / Box Knight / VOID DIVER: Escape from the Abyss","0.50","medium",""
"239","3F-C03","London Games Festival","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.42","none",""
"240","3F-C04","Games Ground","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","0.31","none",""
"241","3F-C05","Gamirror Games","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","1.00","high","OK"
"242","3F-C06","TAIWAN ACADEMIA INDUSTRY CONSORTIUM","Black Lantern Collective","3","Sucker for Love: Crush Landing / HR: Human Remains / Horripilant","0.28","none",""
"243","3F-C07","Taipei Game Show","G-EIGHT Game Show","4","ルビナイト / 生贄のアパート / Ringash / 仿品一號 | イミテーション No.1","0.64","medium",""
"244","3F-C08","Day of the Devs","Ukiyo Studios","10","We Took That Trip / CRYMELIGHT / HYPERyuki: Snowboard Syndicate / Kidbash: Super Legend / Mina the Hollower / Shovel Knight: Treasure Trove / Rain98 / Sledding Game / Box Knight / VOID DIVER: Escape from the Abyss","0.33","none",""
"246","3F-C10","BIC Festival 2026","Rice Games Inc","2","Shujinkou / 主人公 / Shujinkou Manga Reader / 主人公マンガリーダー","0.27","none",""
"247","3F-C11","東京ゲームショウ","東映ゲームズ","3","KILLA / HINO / DEBUG NEPHEMEE -デバッグネフェミー-","0.50","medium",""
"248","3F-C12","Game Grove X","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","0.46","none",""
"249","3F-C13","RCGS","Rice Games Inc","2","Shujinkou / 主人公 / Shujinkou Manga Reader / 主人公マンガリーダー","0.44","none",""
"250","3F-C14","ホテル アンテルーム 京都","エヌビーゲームズ","2","STEP THEATER - ステップシアター / 都市伝説.exe","0.18","none",""
"251","3F-C15","ZOTAC","SKOOTA GAMES","2","ももっとクラッシュ / 太ももうさぎの大撃腿","0.27","none",""
"253","3F-C17","アウリン","ラディアスリー","1","Thousands of Heroes","0.29","none",""
"254","3F-C18","ウィットワン","株式会社ポケットペア","6","Palworld / パルワールド / Windrose / ウィンドローズ / Truckful / トラックフル / CASSETTE BOY / カセットボーイ / Normal Fishing / ノーマルフィッシング / Never Grave: The Witch and The Curse","0.33","none",""
"255","3F-C19","株式会社ブレインストーム","イースニッド","1","アイリス・オデッセイ","0.25","none",""
"256","3F-E01","MIX STREAMING","Gamirror Games","4","shapez 2 / Alchemy Factory / ペンポン / 退勤！パンデミック特急","0.31","none",""
"257","3F-E02","G-EIGHT","G-EIGHT Game Show","4","ルビナイト / 生贄のアパート / Ringash / 仿品一號 | イミテーション No.1","0.90","high","OK"
"259","3F-E04","IGN JAPAN","Graph","5","Aether &amp; Iron / Be My Horde（ビー・マイ・ホード） / Descent Of Lunaris / LOVE ETERNAL（ラブエターナル） / Surfpunk（サーフパンク）","0.38","none",""
"260","3F-A01","Catalan Institute for Cultural Companies - Catalan Arts","Catalan Institute for Cultural Companies (ICEC) - Catalan Arts","10","Underling Uprising / Is This Seat Taken? / Never/Together / Zaya: Rise to the Gods / Murder by Death / Kumari Samsara: The Living Goddess / Angie Magica / Denshattack! / Jordi &amp; Oslo: The Last Tail / Duskfade","0.92","high","OK"
"261","3F-A02","サードウェーブ / GALLERIA","AMATA Games","2","超翼戦騎エスティーク / Save My Scrap -セイブ・マイ・スクラップ-","0.20","none",""
"262","3F-A03","Sony Interactive Entertainment","Game Source Entertainment","5","ラタタン / スターシップ・トゥルーパーズ：アルティメット・バグ・ウォー / キャッスル・オブ・アルケミスト / 電車アタック / THANKS, LIGHT.","0.57","medium",""
"263","3F-A04","任天堂株式会社","","0","","0.00","none",""
"264","3F-A05","集英社ゲームズ","集英社ゲームズ","8","シュレディンガーズ・コール / Chronoscript: The Endless End / BAKUDO / UN:Me / こちら葛飾区亀有公園前派出所～両さんの商店街物語～ / YAKOH SHINOBI OPS / OPUS: Prism Peak / 都市伝説解体センター","1.00","high","OK"
"265","3F-A06","ジーン","株式会社ジーン","16","買い物（かいもん）マスターとみえ / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト /  / BITSUMMIT プログラミングバトル ～スーパータンクウォーズ～ / CyberRush override / ボムボムドカン / ダイスアウト / ハイローウエスタン / BESTACK / ぷちトイ◒リフレクト","1.00","high","OK"
"266","3F-A07","WOW","lowiro","2","In Falsus / Arcaea","0.33","none",""
"267","3F-A08","株式会社ゲラッパ","株式会社ゲラッパ","1","三国志BOND","1.00","high","OK"
"268","3F-A09","Lorebard","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.38","none",""
"269","3F-A10","CE-Asia","Screen Australia","7","Management In Space / Ascent of the Last Colossus / Jupiter Junkworks / Dungeons and Dining Tables / Slumbering Woods / Nullstar: Solus / Potions, Please!","0.40","none",""
"270","3F-A11","セガ","セガ","5","リトルキティ・ビッグシティ ～まいごの子猫の街さんぽ～ / Outbound（アウトバウンド） / リトルキティ・ビッグシティ ～まいごの子猫の街さんぽ～ / Outbound（アウトバウンド） / 盛世天下：女帝への道","1.00","high","OK"
"271","3F-A12","東急不動産株式会社","東急不動産株式会社","3","Twin Soul / Fantasketch / ファンタスケッチ / シブヤスクランブルストーリーズ","1.00","high","OK"
"272","3F-A13","COREBLAZER","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","0.30","none",""
"273","3F-A14","Indie Games Pass (IGP)","Indie Games Pass","7","LoopStructor 2: SkySpine / Deck of Harvest / Cat Squeeze / PlatVerse: Abya's Adventure / Shrink Rooms / Ashes of Pantheon / LoopStructor","0.90","high","OK"
"274","3F-A15","エヌビーゲームズ","エヌビーゲームズ","2","STEP THEATER - ステップシアター / 都市伝説.exe","1.00","high","OK"
"275","3F-A16","ブラックマジックデザイン株式会社","インティ・クリエイツ","4","<big id=""GVFSP""><ruby>蒼き雷霆<rt>アームドブルー</rt></ruby>ガンヴォルト トライアングル エディション Nintendo Switch 2 Edition</big> / <big id=""ADC"">白き鋼鉄の<ruby>X<rt>イクス</rt></ruby> 1+2 デュアルコレクション</big> / <big id=""BKR"">ぼくらのキングダム 時食む果実といにしえの魔物</big> / <big id=""MJG"">魔女ガミ－The Witch of Luludidea－</big>","0.17","none",""
"276","3F-A17","日本ギガバイト株式会社","セガ","5","リトルキティ・ビッグシティ ～まいごの子猫の街さんぽ～ / Outbound（アウトバウンド） / リトルキティ・ビッグシティ ～まいごの子猫の街さんぽ～ / Outbound（アウトバウンド） / 盛世天下：女帝への道","0.14","none",""
"277","3F-A18","株式会社フリースタイル","フリースタイル","3","オバケイドロ２ / オバケイドロ！ / うんこ探偵","1.00","high","OK"
"278","3F-A19","Rice Games Inc.","Rice Games Inc","2","Shujinkou / 主人公 / Shujinkou Manga Reader / 主人公マンガリーダー","1.00","high","OK"
"279","3F-A20","株式会社サイバーエージェント","イースニッド","1","アイリス・オデッセイ","0.20","none",""
"280","3F-A21","PixAI","Pikii","1","Ira","0.60","medium",""
"281","3F-A22","大阪電気通信大学","","0","","0.00","none",""
"282","3F-A23","遊び創り研究センター","セガ","5","リトルキティ・ビッグシティ ～まいごの子猫の街さんぽ～ / Outbound（アウトバウンド） / リトルキティ・ビッグシティ ～まいごの子猫の街さんぽ～ / Outbound（アウトバウンド） / 盛世天下：女帝への道","0.10","none",""
"283","3F-A24","AREA 35","AREA35","3","タイニーメタル2 / PROJECT BLITZ / フェリシティーズ・ドア","1.00","high","OK"
"284","3F-A25","WhisperGames","Rice Games Inc","2","Shujinkou / 主人公 / Shujinkou Manga Reader / 主人公マンガリーダー","0.58","medium",""
"285","3F-A26","Meshy AI","Nestopi Inc.","1","Chill with You：Lo-Fi Story","0.43","none",""
"286","3F-B01","Indie-us Games","Indie-us Games","1","UNDEFEATED: Genesis","1.00","high","OK"
