id,booth,title,exhibitor,steamName,steamUrl,score,confidence,ok
"283","3F-A24","AREA 35 ブース","AREA 35","","","0.00","none",""
"284","3F-A25","WhisperGames ブース","WhisperGames","","","0.00","none",""
"285","3F-A26","Meshy AI ブース","Meshy AI","","","0.00","none",""
"286","3F-B01","Indie-us Games ブース","Indie-us Games","","","0.00","none",""
"287","3F-B02","コーラス・ワールドワイド ブース","コーラス・ワールドワイド","","","0.00","none",""
"288","3F-B03","17-BIT ブース","17-BIT","","","0.00","none",""
"289","3F-B04","Black Tower Studios ブース","Black Tower Studios","","","0.00","none",""
"290","3F-B05","Graph ブース","Graph","","","0.00","none",""
"291","3F-B06","CANARY ISLANDS GAMES","CANARY ISLANDS GAMES","","","0.00","none",""
"292","3F-B07","Toge Production ブース","Toge Production","","","0.00","none",""
"293","3F-B08","Balor Games ブース","Balor Games","","","0.00","none",""
"294","3F-B09","あまた ブース","あまた株式会社","","","0.00","none",""
"295","3F-B10","大阪工業大学 ブース","大阪工業大学","","","0.00","none",""
"296","3F-B11","大阪情報コンピュータ専門学校","大阪情報コンピュータ専門学校","","","0.00","none",""
"297","3F-B12","京都デザイン&テクノロジー専門学校","京都デザイン&テクノロジー専門学校","","","0.00","none",""
"298","3F-B13","HYPER REAL ブース","HYPER REAL","","","0.00","none",""
"299","3F-B14","HARRISONWORLD ブース","HARRISONWORLD CO.,LTD.","","","0.00","none",""
"300","3F-B15","京都コンピュータ学院 ブース","京都コンピュータ学院","","","0.00","none",""
"301","3F-B16","Indie Game Lab Japon","Indie Game Lab Japon","","","0.00","none",""
"302","3F-B17","グラビティゲームアライズ ブース","グラビティゲームアライズ","","","0.00","none",""
"303","3F-B18","BeXide ブース","BeXide","","","0.00","none",""
"304","3F-B19","面白法人カヤック ブース","面白法人カヤック","","","0.00","none",""
"305","3F-B20","KADOKAWA Game Linkage","KADOKAWA Game Linkage","","","0.00","none",""
"306","3F-B21","Phoenixx ブース","Phoenixx","","","0.00","none",""
"307","3F-B22","Beep Japan ブース","Beep Japan","","","0.00","none",""
"308","3F-B23","lowiro ブース","lowiro","","","0.00","none",""
"309","3F-B24","オプテージ ブース","オプテージ","","","0.00","none",""
"310","3F-B25","HappyPlayer ブース","HappyPlayer","","","0.00","none",""
"311","3F-B26","MDEC ブース","Malaysia Digital Economy Corporation (MDEC)","","","0.00","none",""
"312","3F-B27","Double Fine Productions ブース","Double Fine Productions / Xbox Game Studios","","","0.00","none",""
"313","3F-B28","Soft Source ブース","Soft Source","","","0.00","none",""
"314","3F-B29","Gocha Gocha Games ブース","Gocha Gocha Games","","","0.00","none",""
"315","3F-B30","中野亘 × 宮澤卓宏 ブース","中野亘 × 宮澤卓宏","","","0.00","none",""
"316","3F-B31","ニューラルソフトウェア ブース","株式会社ニューラルソフトウェア","","","0.00","none",""
"317","3F-B32","Odencat ブース","Odencat","","","0.00","none",""
"318","3F-B33","灯白社 ブース","株式会社 灯白社","","","0.00","none",""
"319","3F-B34","ワンダーランドカザキリ ブース","ワンダーランドカザキリ","","","0.00","none",""
"320","3F-B35","KIC Games ブース","KIC Games","","","0.00","none",""
"321","3F-B36","ザクザクゲーム ブース","ザクザクゲーム","","","0.00","none",""
"322","3F-B37","THIRD ブース","THIRD","","","0.00","none",""
"323","3F-B38","アコードセブン ブース","株式会社アコードセブン","","","0.00","none",""
"324","3F-B39","Nestopi ブース","株式会社Nestopi","","","0.00","none",""
"325","3F-B40","Audiokinetic ブース","Audiokinetic株式会社","","","0.00","none",""
"326","3F-B41","総合地球環境学研究所 Sustai-N-ableプロジェクト","総合地球環境学研究所 Sustai-N-ableプロジェクト","","","0.00","none",""
"327","3F-B42","クアドラアニマ ブース","株式会社クアドラアニマ","","","0.00","none",""
"328","3F-B43","lablab ブース","lablab","","","0.00","none",""
"329","3F-BSGJ","BitSummit Game Jam","BitSummit","","","0.00","none",""
"330","3F-GCG","ゲームクリエイター甲子園","ゲームクリエイター甲子園","","","0.00","none",""
"331","1F-E11","『無双∞』公式物販ブース","株式会社クラウドイリュージョン","","","0.00","none",""
